,Name,Author,Rating,Number of Reviews,Price,Type
39,"The Hidden Hindu Book 3 ""द हिडन हिंदू-3"" - अक्षत गुप्ता 3rd Book of Hidden Hindu Triology (Hindi Version) - Akshat Gupta",Akshat Gupta,4.8 out of 5 stars,37,₹179.00,Paperback
40,Think And Grow Rich - Hindi,Napoleon Hill,4.4 out of 5 stars,"9,872",₹89.00,Paperback
41,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,"82,185",₹196.00,Paperback
42,Shlokas and Mantras Activity Book For Kids Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,4.7 out of 5 stars,351,₹149.00,Hardcover
43,THE 48 LAWS OF POWER,Robert Greene,4.6 out of 5 stars,"18,104",₹559.00,Paperback
44,Animal Stories for Panchtantra 84 pp English 8x8 Book 1,Wonder House Books,4.5 out of 5 stars,"4,820",₹188.00,Hardcover
45,"My First 1000 Words : Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Tr",Wonder House Books,4.5 out of 5 stars,"8,029",₹158.00,Paperback
46,29 Previous Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2023) 14th Edition | General Studies & Aptitude (CSAT) PYQs Question Bank |,Mrunal Patel,4.3 out of 5 stars,348,₹415.00,Paperback
47,Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,4.6 out of 5 stars,"9,543",₹126.00,Paperback
48,1001 Ultimate Brain Booster Activities for 3 to 6 Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,684,₹259.00,Paperback
49,Oswaal CBSE Sample Question Papers Class 10 Mathematics Standard Book (For 2024 Exam),Oswaal Editorial Board,4.8 out of 5 stars,65,₹288.00,Paperback
50,"Quantitative Aptitude for Competitive Examinations All Government and Entrance Exams (Banking, SSC, Railway, Police, Civil Service, etc.) 40 Videos | 2000+ Solved Examples | 10000+ Practice Questions",R. S Aggarwal,4.3 out of 5 stars,"1,799",₹440.00,Paperback
51,Oswaal CBSE Class 10 Science Question Bank (For 2024 Board Exams),Oswaal Editorial Board,4.4 out of 5 stars,520,₹477.00,Paperback
52,All In One Class 10th Social Science for CBSE Exam 2024,Farah Sultan Aditya Raj ,4.3 out of 5 stars,443,₹329.00,Paperback
53,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,"23,636",₹190.00,Paperback
54,"Think And Grow Rich [Original Edition (Complete), PREMIUM PAPERBACK]",Napoleon Hill,4.4 out of 5 stars,"73,073",₹99.00,Paperback
55,The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,"4,052",₹98.00,Paperback
56,Shlokas and Mantras For Kids - Illustrated Padded Board Book - Learn About India's Rich Culture and,Wonder House Books,4.7 out of 5 stars,350,₹198.00,Board book
57,"Story Books for Kids (Set of 5 Books) (Illustrated) - Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,4.4 out of 5 stars,161,₹130.00,Paperback
58,"Writing Fun A Set Of 4 Books : Write And Practice Capital Letters, Small Letters and Numbers 1 to 2",Wonder House Books,4.3 out of 5 stars,"11,876",₹199.00,Paperback
59,"Energize Your Mind : Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.7 out of 5 stars,"2,795",₹170.00,Paperback
60,Tales from Indian Mythology Collection of 10 Books Story Books For Kids,Wonder House Books,4.4 out of 5 stars,438,₹329.00,Paperback
61,The Autobiography of God,Lenaa Kumar,4.8 out of 5 stars,22,₹474.00,Hardcover
62,Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,"6,261",₹335.00,Hardcover
63,Oswaal CBSE Sample Question Papers Class 10 Science Book (For 2024 Exam),Oswaal Editorial Board,4.4 out of 5 stars,54,₹293.00,Paperback
64,"THE POWER OF YOUR SUBCONSCIOUS MIND [Original Edition (Complete), PREMIUM PAPERBACK]",Joseph Murphy,4.5 out of 5 stars,"78,522",₹126.00,Paperback
65,"Oswal - Gurukul Last Years 10 Solved Papers for CBSE Class 10 Exam 2024 - Yearwise Board Solutions of Math Standard, English, Science & Social Science (All Sets Delhi & Outside), Latest Syllabus",Oswal - Gurukul,4.4 out of 5 stars,282,₹720.00,Paperback
66,"The Art of Being Alone : Solitude is my Home, Loneliness was my Cage",Renuka Gavrani,4.3 out of 5 stars,58,₹249.00,Paperback
67,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"138,134",₹203.00,Paperback
68,Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,"2,097",₹83.00,Paperback
69,"All Time Favourites for Children: Classic Collection of 25+ most-loved, great stories by famous award-winning author (Illustrated, must-read fiction short stories for kids)",Ruskin Bond,4.6 out of 5 stars,"1,885",₹149.00,Paperback
70,"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 | Get Free access of Smart Book (Set of 3 Books)",MTG Editorial Board,4.4 out of 5 stars,922,₹779.00,Paperback
71,The Magic Of The Lost Temple**,Sudha Murty,4.6 out of 5 stars,"9,392",₹167.00,Paperback
72,"The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020 [Paperback] Gupta, Akshat",Akshat Gupta,4.4 out of 5 stars,"2,698",₹157.00,Paperback
73,The Hidden Hindu (Hindi Translation of The Hidden Hindu) Paperback,Akshat Gupta,4.4 out of 5 stars,"1,426",₹142.00,Paperback
74,"My First Learning Library Box Set [ Includes 20 Board Books] – Early Learning Books for Children with Well-researched Bright Images | Introduction to Basic Topics | Builds Child’s Vocabulary | Improves Hand-Eye Coordination, Recognition Skills and Enhances Visual Motor Skills | Round Corners for Safety| Sturdy Board Material",Wonder House Books,4.6 out of 5 stars,"14,425",₹799.00,Board book
75,As a Man Thinketh,James Allen,4.4 out of 5 stars,"11,855",₹68.00,Paperback
76,"Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,4.2 out of 5 stars,549,₹150.00,Paperback
77,1800+ Reward Stickers Ideal For Teachers And Parents Sticker Book With Over 1800 Stickers to Boost The Morale of Kids,Wonder House Books,4.5 out of 5 stars,"1,571",₹158.00,Paperback
